Ra=100, We=0.1, Ma=1500, t=0.05, E_k=0.0211428649694, E_e=0.00346381913968
Ra=100, We=0.1, Ma=1500, t=0.05, E_k=0.0211428649694, E_e=0.00346381913968
Ra=100, We=0.1, Ma=1500, t=0.05, E_k=0.0211431647242, E_e=0.00346391257787
Ra=100, We=0.1, t=15.0, E_k=0.0201941915344, E_e=0.0727760748041
Ra=1000, We=1.0Mesh=33, t=8.002, E_k=0.209740515759, E_e=481.452855383
Ra=1000, We=1.0Mesh=33, t=0.2, E_k=2.17869053574, E_e=60.4039449848
Ra=1000, We=0.5Mesh=33, t=0.2, E_k=1.24339185284, E_e=38.8831693129
Ra=1000, We=0.5Mesh=49, t=0.2, E_k=0.927262194113, E_e=39.848995113


Ra=1000, We=0.5Mesh=33, t=8.002, E_k=0.165811392144, E_e=110.535398751
Ra=1000, We=0.5Mesh=49, t=8.002, E_k=0.0912406744122, E_e=87.4549227998
Ra=1000, We=0.5Mesh=65, t=8.002, E_k=0.0701488334925, E_e=79.2314301267
Ra=1000, We=0.5Mesh=65-------Peak Kinetic Energy: 3.84206195391Incomp Kinetic En3.87005399652
Ra=1000, We=0.5Mesh=81, t=8.002, E_k=0.057283737025, E_e=72.2321682878
Ra=1000, We=0.5Mesh=49, t=8.002, E_k=0.0620457729287, E_e=75.1306654708
Ra=1000, We=0.5Mesh=65, t=8.002, E_k=0.0487806362828, E_e=68.2552315276
Ra=1000, We=0.5Mesh=81, t=8.002, E_k=0.0402251274256, E_e=62.5901478346
Ra=1000, We=0.5Mesh=81-------Peak Kinetic Energy: 3.87794524996Incomp Kinetic En3.86671519422
Ra=1000, We=0.25Mesh=49, t=8.002, E_k=0.145108153532, E_e=26.0036190413
Ra=1000, We=0.1, t=5.002, E_k=0.935949226106, E_e=34.3671952479
Ra=1000, We=0.25Mesh=65, t=8.002, E_k=0.121763106218, E_e=24.3192911379
Ra=1000, We=0.1, t=5.002, E_k=0.935949226106, E_e=34.3671952479
Ra=1000, We=0.1, t=5.002, E_k=0.935949226106, E_e=34.3671952479
Ra=1000, We=0.25, t=5.002, E_k=0.242646153316, E_e=63.2215656932
Ra=1000, We=0.5, t=5.002, E_k=0.0910479698252, E_e=88.5097604996
Ra=1000, We=0.5-------Peak Kinetic Energy: 3.84405310939Incomp Kinetic En4.06904018257
Ra=1000, We=0.25Mesh=81, t=8.002, E_k=0.105396264817, E_e=22.8923085982
Ra=1000, We=0.25Mesh=81-------Peak Kinetic Energy: 3.39021920829Incomp Kinetic En3.39221282969
Ra=1000, We=1.0, t=5.002, E_k=0.049956816451, E_e=136.52548336
Ra=1000, We=2.0, t=5.002, E_k=0.0249287713253, E_e=199.512347759
Ra=1000, We=0.25Mesh=97, t=8.002, E_k=0.0922197101431, E_e=21.617973982
Ra=1000, We=0.25Mesh=49, t=0.367137700026, E_k=272230364.86, E_e=-5655.76176965
Ra=1000, We=0.25Mesh=49, t=0.367137700026, E_k=272230364.86, E_e=-5655.76176965
Ra=1000, We=0.25Mesh=49, t=0.35502594085, E_k=676223306.294, E_e=-9661.74640507
Ra=1000, We=0.01, t=5.002, E_k=2.91908368353, E_e=-2.0
Ra=1000, We=0.25Mesh=49, t=8.00057392078, E_k=0.23853378774, E_e=34.6257864571
Ra=1000, We=0.25Mesh=65, t=8.00040401658, E_k=0.240814180501, E_e=35.0642969577
Ra=1000, We=0.01, t=5.002, E_k=8.64998204236, E_e=0.405604992543
Ra=10000, We=0.01, t=0.005, E_k=76092.6179935, E_e=0.649955619854
Ra=10000, We=0.01, t=0.006, E_k=696146.575738, E_e=1.62398101102
Ra=1000, We=0.01, t=5.002, E_k=8.36391695026, E_e=0.379597172705
Ra=1000, We=0.1, t=5.002, E_k=1.02695379686, E_e=43.8429871181
Ra=1000, We=0.25, t=5.002, E_k=0.24839801269, E_e=70.5856151657
Ra=1000, We=0.25-------Peak Kinetic Energy: 2.59359415822Incomp Kinetic En8.36396318126
Ra=1000, We=0.5, t=5.002, E_k=0.108689812572, E_e=100.099141993
Ra=1000, We=1.0, t=5.002, E_k=0.0523566687334, E_e=143.606983698
Ra=1000, We=0.25Mesh=81, t=8.0001305802, E_k=0.236608936911, E_e=34.9818640204
Ra=1000, We=0.25Mesh=81-------Peak Kinetic Energy: 5.70115799378Incomp Kinetic En5.60014176131
Ra=1000, We=0.01, t=10.0035168318, E_k=8.70883667129, E_e=0.41144073071
