Ra=1000, We=0.05, t=6.00017677083, u_max7.31506410225
Ra=1000, We=0.1, t=6.00017677083, u_max2.62446102021
Ra=1000, We=0.5, t=6.00017677083, u_max1.43408323537
Ra=1000, We=1.0, t=6.00017677083, u_max1.03552878369
Ra=1000, We=2.0, t=6.00017677083, u_max0.782292647347



Ra=2000, We=0.05, t=0.0435173830202, u_max0.00594627931132
Ra=2000, We=0.05, t=0.0435173830202, u_max0.00594627931132

Ra=500, We=0.05, t=6.00017677083, u_max7.31595702729
Ra=500, We=0.1, t=6.00017677083, u_max3.34034778392
Ra=500, We=0.5, t=6.00017677083, u_max1.98082363332
Ra=500, We=1.0, t=6.00017677083, u_max1.48734985259
Ra=500, We=2.0, t=6.00017677083, u_max1.15686013553


Ra=100, We=0.05, t=6.00017677083, u_max1.56644681477
Ra=100, We=0.1, t=6.00017677083, u_max0.86633708763
Ra=100, We=0.5, t=6.00017677083, u_max0.418244977554
Ra=100, We=1.0, t=6.00017677083, u_max0.272992157637
Ra=100, We=2.0, t=6.00017677083, u_max0.190337471134


