Re=1.0, We=1.0, t=0.015526302796, E_k=7.38193256296e+11, E_e=-0.197174937322
Re=1.0, We=0.5, t=6.27068554172, E_k=2.36346041279e+15, E_e=1256.46796489
Re=1.0, We=0.5, t=0.00504604840869, E_k=165970063.742, E_e=-0.372040298562
Re=1.0, We=0.5, t=0.00504604840869, E_k=165970063.742, E_e=-0.372040298562
Re=1.0, We=0.5, t=0.00446381205384, E_k=2.0574581859e+11, E_e=1.45905546897
Re=1.0, We=0.5, t=0.00607278308809, E_k=5.42686967245e-06, E_e=-0.000219179232574
Re=1.0, We=0.5, t=0.00607278308809, E_k=5.41838480622e-06, E_e=-0.000218878664696
Re=1.0, We=0.5, t=0.00607278308809, E_k=5.41838884841e-06, E_e=-0.000219163268703
Re=0.0, We=0.5, t=6.00021333019, E_k=49.2604341903, E_e=66.0390727653
Re=0.0, We=0.5, t=6.00021333019, E_k=54.040713569, E_e=66.0390727653
Re=0.0, We=0.5, t=6.00021333019, E_k=8817.87438264, E_e=66.0390727653
Re=0.0, We=0.5, t=6.00021333019, E_k=51.7551000125, E_e=66.0390727653
Re=0.0, We=0.5, t=0.0303639154405, E_k=1.19277392076e-05, E_e=-0.000218894638398
Re=0.0, We=0.5, t=0.0303639154405, E_k=1.19277409079e-05, E_e=-0.000218894638398
Re=0.0, We=0.5, t=6.00021333019, E_k=49.2462743352, E_e=65.9895801723
Re=0.0, We=0.5, t=6.00021333019, E_k=53.9975988249, E_e=65.9895801723
Re=0.0, We=0.5, t=6.00021333019, E_k=48.85908222, E_e=63.8570112157
Re=0.0, We=0.5, t=2.5052, E_k=1.09580482992e+11, E_e=65460374.1752
Re=0.0, We=0.5, t=2.7158, E_k=1.8513966393e+11, E_e=65460374.1752
Re=0.0, We=0.5, t=2.7158, E_k=1.8513966393e+11, E_e=65460374.1752
Re=0.0, We=0.5, t=2.7158, E_k=1.8513966393e+11, E_e=65460374.1752
Re=0.0, We=0.5, t=2.7158, E_k=1.8513966393e+11, E_e=65460374.1752
Re=0.0, We=0.5, t=2.7158, E_k=1.8513966393e+11, E_e=65460374.1752
Re=0.0, We=0.5, t=2.7158, E_k=1.8513966393e+11, E_e=65460374.1752
Re=0.0, We=0.5, t=2.7158, E_k=1.8513966393e+11, E_e=65460374.1752
Re=0.0, We=0.5, t=2.7158, E_k=1.8513966393e+11, E_e=65460374.1752
Re=0.0, We=0.5, t=2.7158, E_k=1.8513966393e+11, E_e=65460374.1752
Re=0.0, We=0.5, t=0.0057, E_k=41156735.8117, E_e=115.816203385
Re=0.0, We=0.5, t=0.0057, E_k=41131196.4414, E_e=115.816203385
Re=0.0, We=0.5, t=0.0057, E_k=41131196.4414, E_e=115.816203385
Re=0.0, We=0.5, t=0.0057, E_k=41131196.4414, E_e=115.816203385
Re=0.0, We=0.5, t=0.0057, E_k=41131196.4414, E_e=115.816203385
Re=0.0, We=0.5, t=0.0057, E_k=41131196.4414, E_e=115.816203385
Re=0.0, We=0.5, t=0.0057, E_k=41131196.4414, E_e=115.816203385
Re=0.0, We=0.5, t=0.0057, E_k=41131196.4414, E_e=115.816203385
Re=0.0, We=0.5, t=0.0057, E_k=41131196.4414, E_e=115.816203385
Re=0.0, We=0.5, t=0.0057, E_k=41131196.4414, E_e=115.816203385
Re=0.0, We=0.5, t=0.0057, E_k=41131196.4414, E_e=115.816203385
Re=0.0, We=0.5, t=0.0085, E_k=2928784.38266, E_e=-704.606992528
