



Re=0.0, We=0.65beta0.5, L=5.0, lambda=0, t=6.0004, Drag Factor=1.180291361
Re=0.0, We=0.65beta0.5, L=5.0, lambda=0.05, t=6.0004, Drag Factor=1.19048621918
Re=0.0, We=0.65beta0.5, L=5.0, lambda=0.1, t=6.0004, Drag Factor=1.22338982215
Re=0.0, We=2.25beta0.5, L=5.0, lambda=0, t=6.0004, Drag Factor=1.53430758692

Beta_s = 0.4


Re=0.0, We=0.0001beta0.5, L=5.0, lambda=0beta_s0.4, t=6.0004, Drag Factor=1.0000
Re=0.0, We=0.65beta0.5, L=5.0, lambda=0beta_s0.4, t=6.0004, Drag Factor=1.5408
Re=0.0, We=0.65beta0.5, L=5.0, lambda=0.05beta_s0.4, t=6.0004, Drag Factor=1.58504
Re=0.0, We=0.65beta0.5, L=5.0, lambda=0.1beta_s0.4, t=6.0004, Drag Factor=1.67988
Re=0.0, We=0.0001beta0.5, L=5.0, lambda=0beta_s0.4, t=6.0004, Drag Factor=1.0000

Re=0.0, We=1e-05beta0.5, L=5.0, lambda=0beta_s0.4, t=10.0, Drag Factor=1.000000
Re=0.0, We=0.65beta0.5, L=5.0, lambda=0beta_s0.4, t=10.0, Drag Factor=1.79660787752
Re=0.0, We=0.65beta0.5, L=5.0, lambda=0.05beta_s0.4, t=10.0, Drag Factor=1.75293755302
Re=0.0, We=0.65beta0.5, L=5.0, lambda=0.1beta_s0.4, t=10.0, Drag Factor=2.23870928014
Re=0.0, We=1e-05beta0.5, L=5.0, lambda=0beta_s0.4, t=10.0, Drag Factor=1.0
Re=0.0, We=2.25beta0.5, L=5.0, lambda=0beta_s0.4, t=10.0, Drag Factor=0.897031822576
Re=0.0, We=2.25beta0.5, L=5.0, lambda=0.05beta_s0.4, t=10.0, Drag Factor=0.900545063125
Re=0.0, We=2.25beta0.5, L=5.0, lambda=0.1beta_s0.4, t=10.0, Drag Factor=0.91138154671
Re=0.0, We=1e-05beta0.5, L=5.0, lambda=0beta_s0.4, t=10.0, Drag Factor=1.0
Re=0.0, We=1e-05beta0.5, L=100.0, lambda=0beta_s0.2, t=10.0, Drag Factor=2.62296028502
Re=0.0, We=0.65beta0.5, L=2.0, lambda=0beta_s0.5, t=10.0006291979, Drag Factor=1.13074711619
Re=0.0, We=0.65beta0.5, L=5.0, lambda=0beta_s0.5, t=10.0006291979, Drag Factor=1.04990177866


30/06/18
Re=0.0, We=0.65beta0.5, L=5.0, lambda=0.0beta_s0.4, t=8.00017274782, Drag Factor=1.3624161598
Re=0.0, We=0.65beta0.5, L=5.0, lambda=0.1beta_s0.4, t=8.00017274782, Drag Factor=1.52373262555
Re=0.0, We=0.65beta0.5, L=5.0, lambda=0.2beta_s0.4, t=8.00017274782, Drag Factor=2.12836762649
Re=0.0, We=0.01beta1.0, L=5.0, lambda=0.0beta_s0.4, t=8.00017274782, Drag Factor=0.999999748008
Re=0.0, We=0.01beta0.5, L=5.0, lambda=0.0beta_s0.4, t=8.00017274782, Drag Factor=0.831200104663
Re=0.0, We=0.01beta0.5, L=5.0, lambda=0.1beta_s0.4, t=8.00017274782, Drag Factor=0.847130203067
Re=0.0, We=0.01beta0.5, L=5.0, lambda=0.2beta_s0.4, t=8.00017274782, Drag Factor=0.903716195949
Re=0.0, We=0.01beta1.0, L=5.0, lambda=0.0beta_s0.4, t=8.00017274782, Drag Factor=0.999961921833


Re=0.0, We=0.65beta0.5, L=5.0, lambda=0.0beta_s0.4, t=6.00001416267, Drag Factor=1.28653645727
Re=0.0, We=0.65beta0.5, L=5.0, lambda=0.05beta_s0.4, t=6.00001416267, Drag Factor=1.32384448566
Re=0.0, We=0.65beta0.5, L=5.0, lambda=0.1beta_s0.4, t=6.00001416267, Drag Factor=1.4396562256
Re=0.0, We=0.65beta0.5, L=5.0, lambda=0.15beta_s0.4, t=6.00001416267, Drag Factor=1.64141291383

Re=0.0, We=0.65beta0.5, L=5.0, lambda=0.0beta_s0.4, t=6.00001416267, Drag Factor=1.31900688952
Re=0.0, We=0.65beta0.5, L=5.0, lambda=0.05beta_s0.4, t=6.00001416267, Drag Factor=1.35544845194
Re=0.0, We=0.65beta0.5, L=5.0, lambda=0.1beta_s0.4, t=6.00001416267, Drag Factor=1.4762102483
