Re=0.0, We=1e-05, beta=0.5beta_s=0.5, t=4.00013176222, Drag Factor=4.91646224811
Re=0.0, We=1e-05, beta=0.5beta_s=0.5, t=4.00013176222, Drag Factor=5.88434558538
Re=0.0, We=1e-05, beta=0.5beta_s=0.5, t=4.00013176222, Drag Factor=5.88434558538
Re=0.0, We=1e-05, beta=0.5beta_s=0.5, t=4.00013176222, Drag Factor=5.88434558538
Re=0.0, We=1e-05, beta=0.5beta_s=0.5, t=4.00013176222, Drag Factor=5.88434558538
Re=0.0, We=1e-05, beta=0.5beta_s=0.5, t=4.00013176222, Drag Factor=5.88434558538
Re=0.0, We=1e-05, beta=0.5beta_s=0.5, t=4.00013176222, Drag Factor=5.88434558538
Re=0.0, We=1e-05, beta=0.5beta_s=0.5, t=4.00013176222, Drag Factor=5.88434558538
Re=0.0, We=1e-05, beta=0.5beta_s=0.5, t=4.00013176222, Drag Factor=5.88434558538
Re=0.0, We=1e-05, beta=0.5beta_s=0.5, t=4.00013176222, Drag Factor=5.88434558538
Re=0.0, We=1e-05, beta=0.5beta_s=0.5, t=4.00013176222, Drag Factor=5.88434558538
Re=0.0, We=1e-05, beta=0.5beta_s=0.5, t=4.00013176222, Drag Factor=5.88434558538
Re=0.0, We=1e-05, beta=0.5beta_s=0.5, t=4.00013176222, Drag Factor=5.88434558538
Re=0.0, We=1e-05, beta=0.5beta_s=0.5, t=4.00013176222, Drag Factor=5.88434558538
Re=0.0, We=1e-05, beta=0.5beta_s=0.5, t=4.00013176222, Drag Factor=5.88434558538
Re=0.0, We=1e-05, beta=0.5beta_s=0.5, t=4.00013176222, Drag Factor=5.88434558538
Re=0.0, We=1e-05, beta=0.5beta_s=0.5, t=4.00013176222, Drag Factor=5.88434558538
Re=0.0, We=1e-05, beta=0.5beta_s=0.5, t=4.00013176222, Drag Factor=5.88434558538
Re=0.0, We=1e-05, beta=0.5beta_s=0.5, t=4.00013176222, Drag Factor=5.88434558538
Re=0.0, We=1e-05, beta=0.5beta_s=0.5, t=4.00013176222, Drag Factor=5.88434558538
Re=0.0, We=1e-05, beta=0.5beta_s=0.5, t=4.00013176222, Drag Factor=5.88434558538
