
25/05/2018




Re=0.0, We=0.1, t=12.0005477714, p_min=-4.36568078047, p_max=39.4078573475
Re=0.0, We=0.1, t=12.0005477714, p_min=-4.36771339353, p_max=39.4103953095
Re=0.0, We=0.5, t=12.0005477714, p_min=-0.432387953239, p_max=69.1351287805
Re=0.0, We=0.7, t=12.0005477714, p_min=-0.0301576625633, p_max=65.1819833991
Re=0.0, We=1.0, t=12.0005477714, p_min=0.0, p_max=51.2052976578
Re=0.0, We=1.2, t=12.0005477714, p_min=0.0, p_max=43.3556279049
Re=0.0, We=0.1, t=12.0005477714, p_min=-4.36771339353, p_max=39.4103953095
Re=0.0, We=0.5, t=12.0005477714, p_min=-2.51661818613, p_max=46.3597784435
Re=0.0, We=0.7, t=12.0005477714, p_min=-1.15693945704, p_max=45.8798551692
Re=0.0, We=1.0, t=12.0005477714, p_min=-0.238763605684, p_max=43.679871851
Re=0.0, We=1.2, t=12.0005477714, p_min=-0.120495607586, p_max=41.7940598373



Re=0.0, We=0.5, t=1.3, p_min=-2.15832867955, p_max=34.8259240249
Re=0.0, We=0.1, t=12.0005477714, p_min=-3.07129371352, p_max=36.083116885
Re=0.0, We=0.2, t=12.0005477714, p_min=-2.7492158591, p_max=40.8757842505
Re=0.0, We=0.1, t=12.0005477714, p_min=-3.23257106555, p_max=38.6271639338
Re=0.0, We=0.1, t=12.0035974659, p_min=-2.96870443054, p_max=35.020357442
Re=0.0, We=0.1, t=4.00043673167, p_min=-3.12647709733, p_max=38.5097017202




Re=0.0, We=0.2, t=0.076242361953, p_min=0.0, p_max=0.782424832174
Re=0.0, We=0.5, t=0.076242361953, p_min=0.0, p_max=0.78240876422
Re=0.0, We=1.0, t=0.076242361953, p_min=0.0, p_max=0.78240607784
Re=0.0, We=1.2, t=0.076242361953, p_min=0.0, p_max=0.782412935773
Re=0.0, We=0.1, t=0.0381211809765, p_min=0.0, p_max=0.428954446467
Re=0.0, We=0.2, t=0.0381211809765, p_min=0.0, p_max=0.428924029634
Re=0.0, We=0.5, t=0.0381211809765, p_min=0.0, p_max=0.428908630943
Re=0.0, We=0.1, t=6.0002738857, p_min=-2.96215557438, p_max=41.1024695784
Re=0.0, We=0.2, t=6.0002738857, p_min=-1.35255309899, p_max=315.888767214
Re=0.0, We=0.1, t=2.00014212348, p_min=-2.99969986952, p_max=40.976101031
Re=0.0, We=0.2, t=2.00014212348, p_min=-2.12051545437, p_max=83.2674958418
Re=0.0, We=0.5, t=2.00014212348, p_min=-0.63486371917, p_max=520.126204567
Re=0.0, We=1.0, t=2.00014212348, p_min=-0.0078129606999, p_max=1017.75610257
Re=0.0, We=1.2, t=2.00014212348, p_min=-0.00773863499065, p_max=1081.78630396
Re=0.0, We=0.1, t=2.00014212348, p_min=-2.94011172406, p_max=41.0363165512
Re=0.0, We=0.2, t=2.00014212348, p_min=-2.12051545437, p_max=83.2674958418
Re=0.0, We=0.5, t=2.00014212348, p_min=-0.63486371917, p_max=520.126204567
Re=0.0, We=1.0, t=2.00014212348, p_min=-0.0078129606999, p_max=1017.75610257
Re=0.0, We=1.2, t=2.00014212348, p_min=-0.00773863499065, p_max=1081.78630396
Re=0.0, We=0.1, t=2.00014212348, p_min=-3.81609280353, p_max=40.5566877915
Re=0.0, We=0.2, t=2.00014212348, p_min=-3.88590177809, p_max=57.0805820202
Re=0.0, We=0.5, t=2.00014212348, p_min=-1.74919612846, p_max=173.515834387
Re=0.0, We=1.0, t=2.00014212348, p_min=-0.956969152471, p_max=293.903212146
Re=0.0, We=1.2, t=2.00014212348, p_min=-0.803626193134, p_max=309.694602232
Re=0.0, We=0.1, t=2.00021836584, p_min=-2.85092451152, p_max=41.1775947771
Re=0.0, We=0.1, t=4.00005551986, p_min=-2.87575067613, p_max=41.1545551984
Re=0.0, We=0.1, t=4.00005551986, p_min=-2.88308696443, p_max=41.1479716189
Re=0.0, We=0.1, t=4.00005551986, p_min=-2.88308696443, p_max=41.1479716189
Re=0.0, We=0.1, t=0.076242361953, p_min=0.0, p_max=0.78713640633
Re=0.0, We=0.1, t=0.0381211809765, p_min=0.0, p_max=0.428929500697
Re=0.0, We=0.1, t=4.00005551986, p_min=-2.88308696443, p_max=41.1479716189
Re=0.0, We=0.2, t=4.00005551986, p_min=-1.89649491648, p_max=176.656274787
Re=0.0, We=0.1, t=4.00005551986, p_min=-2.87575067613, p_max=41.1545551984
Re=0.0, We=0.2, t=4.00005551986, p_min=-1.8964909464, p_max=176.658628503
Re=0.0, We=1e-05, t=4.00013176222, p_min=-1.98527380898, p_max=28.8361207063
