Re=1, We=0.5, Ma=0.0005, t=0.01, E_k=1.31698794426e-08, E_e=-2.62587073056e-06
Re=1, We=0.5, Ma=0.0005, t=5.0, E_k=0.0718005888261, E_e=210.447012004
Re=1, We=0.5, Ma=0.0005, t=5.0, E_k=0.0673938697072, E_e=343.985626267
Re=0.0, We=0.1, Ma=0.0005, t=5.0, E_k=0.08421777395, E_e=1.22294733201
Re=1.0, We=0.1, Ma=0.0005, t=5.0, E_k=0.0842146550508, E_e=1.22292424207
Re=1.0, We=0.1, Ma=0.0005, t=5.0, E_k=0.0840495282127, E_e=1.22245209917
Re=1, We=0.1, Ma=0.0005, t=5.00010122051, E_k=0.0779279647122, E_e=1.09307091828
Re=1.0, We=0.1, Ma=0.0005, t=5.0, E_k=0.0819163138028, E_e=1.21945330329
Re=1.0, We=0.1, Ma=0.0005, t=5.0, E_k=0.0798299201152, E_e=1.21694118365
Re=0.0, We=0.1, Ma=0.01, t=5.0, E_k=0.084222303406, E_e=1.22259036442
Re=1.0, We=0.1, Ma=0.01, t=5.0, E_k=0.084212902065, E_e=1.22286994658
Re=1.0, We=0.1, Ma=0.01, t=5.0, E_k=0.0840321505785, E_e=1.22240620575
Re=1.0, We=0.1, Ma=0.01, t=5.0, E_k=0.0819260660464, E_e=1.2194244821
Re=1.0, We=0.1, Ma=0.01, t=5.0, E_k=0.0798300022081, E_e=1.21693207022
Re=25, We=0.25, Ma=0.0005, t=8.0, E_k=0.0741367972685, E_e=32.3587907958
Re=25, We=0.25, Ma=0.001, t=8.0, E_k=0.0741368370909, E_e=32.3587907001
Re=1, We=0.1, Ma=0.0005, t=4.00014891948, E_k=0.0779279624787, E_e=1.09307112475
Re=25, We=0.25, Ma=0.01, t=8.0, E_k=0.0741424332274, E_e=32.3568233975
Re=25, We=0.25, Ma=0.01, t=8.0, E_k=0.0741424332274, E_e=32.3568233975
Re=25, We=0.25, Ma=0.01, t=8.0, E_k=0.0741424332274, E_e=32.3568233975
Re=1, We=0.1, Ma=0.0005, t=4.00011035622, E_k=0.0772412589609, E_e=1.15133945918
Re=25, We=0.1, Ma=0.0005, t=8.0, E_k=0.0814103399837, E_e=1.21823777221
Re=25, We=0.1, Ma=0.001, t=8.0, E_k=0.081333648414, E_e=1.21820014673
Re=25, We=0.1, Ma=0.0005, t=8.0005, E_k=0.0804146834208, E_e=1.13495592796
Re=25, We=0.2, Ma=0.0005, t=8.0005, E_k=0.0796254818035, E_e=9.4013848533
Re=1, We=0.1, Ma=0.0005, t=4.00008288605, E_k=0.0773553774939, E_e=1.19906700609
Re=25, We=0.3, Ma=0.0005, t=8.0005, E_k=0.0767640171669, E_e=39.3148189112
Re=1, We=0.1, Ma=0.001, t=4.00014891948, E_k=0.0779280184602, E_e=1.09307298552
Re=25, We=0.4, Ma=0.0005, t=8.0005, E_k=0.0766509720686, E_e=86.9961233391
Re=1, We=0.1, Ma=0.001, t=4.00011035622, E_k=0.07724133803, E_e=1.15133968728
Re=25, We=0.5, Ma=0.0005, t=8.0005, E_k=0.0764313814751, E_e=147.624170551
Re=25, We=0.1, Ma=0.001, t=8.0005, E_k=0.0801826079984, E_e=1.13474910228
Re=25, We=0.2, Ma=0.001, t=8.0005, E_k=0.0796254982204, E_e=9.4013845581
Re=1, We=0.1, Ma=0.001, t=4.00008288605, E_k=0.0773554512891, E_e=1.19906753078
Re=25, We=0.3, Ma=0.001, t=8.0005, E_k=0.0767640507251, E_e=39.3148143354
Re=25, We=0.4, Ma=0.001, t=8.0005, E_k=0.0766523526458, E_e=86.9973917731
Re=1, We=0.1, Ma=0.01, t=4.00014891948, E_k=0.0779464889066, E_e=1.09281421389
Re=25, We=0.1, Ma=0.01, t=0.005, E_k=1.85650861084e-09, E_e=-3.2312969834e-06
Re=25, We=0.1, Ma=0.01, t=0.005, E_k=1.85650861084e-09, E_e=-3.2312969834e-06
Re=25, We=0.1, Ma=0.01, t=0.05, E_k=1.79647254005e-08, E_e=-3.2312969834e-06
Re=25, We=0.1, Ma=0.01, t=10.0, E_k=0.0806905336436, E_e=0.993709031655
Re=25, We=0.2, Ma=0.01, t=10.0, E_k=0.0801870164494, E_e=7.4576827738
Re=25, We=0.3, Ma=0.01, t=10.0, E_k=0.0770530610473, E_e=30.6227653985
Re=25, We=0.005, Ma=0.001, t=10.0, E_k=0.0798818688896, E_e=0.00220310855733
