Re=10, We=0.001, Ma=0.01, t=8.00021857609, E_k=0.108347716694, E_e=9.849578388e-05
Re=10, We=0.1, Ma=0.01, t=8.00021857609, E_k=0.103906869497, E_e=0.885719199602
Re=10, We=0.5, Ma=0.01, t=8.00021857609, E_k=0.104301596692, E_e=11.4385003673
Re=10, We=1.0, Ma=0.01, t=8.00021857609, E_k=0.104089446797, E_e=31.7175458361
Re=10, We=0.001, Ma=0.01, t=8.00021857609, E_k=0.108347424218, E_e=9.83355574761e-05
Re=10, We=0.1, Ma=0.01, t=8.00021857609, E_k=0.103695051373, E_e=0.886628603736
Re=10, We=0.5, Ma=0.01, t=8.00021857609, E_k=0.103979066992, E_e=11.4403960011
Re=10, We=0.75, Ma=0.01, t=8.00021857609, E_k=0.103850256262, E_e=20.8425053284
Re=10, We=1.0, Ma=0.01, t=8.00021857609, E_k=0.103694443437, E_e=31.7108988709
Re=50, We=0.001, Ma=0.05, t=8.00021857609, E_k=0.108289054608, E_e=0.000113779672138
Re=50, We=0.1, Ma=0.05, t=8.00021857609, E_k=0.102921441786, E_e=0.888594064021
Re=50, We=0.5, Ma=0.05, t=8.00021857609, E_k=0.104459818573, E_e=11.4426087578
Re=50, We=0.75, Ma=0.05, t=8.00021857609, E_k=0.104978193108, E_e=20.8573175789
Re=50, We=1.0, Ma=0.05, t=8.00021857609, E_k=0.105123854046, E_e=31.7513533289
Re=100, We=0.001, Ma=0.1, t=8.00021857609, E_k=0.10821378794, E_e=0.000117410579504
Re=100, We=0.1, Ma=0.1, t=8.00021857609, E_k=0.102950532421, E_e=0.889358099145
Re=100, We=0.5, Ma=0.1, t=8.00021857609, E_k=0.103719341218, E_e=11.4844983703
Re=100, We=0.75, Ma=0.1, t=8.00021857609, E_k=0.103830453568, E_e=20.9263421367
Re=50, We=0.001, Ma=0.05, t=8.00067041026, E_k=0.108279646856, E_e=0.000113945410826
Re=50, We=0.1, Ma=0.05, t=8.00067041026, E_k=0.103073757847, E_e=0.886155073136
Re=50, We=0.5, Ma=0.05, t=8.00067041026, E_k=0.104871684951, E_e=11.4284704898
Re=50, We=0.75, Ma=0.05, t=8.00067041026, E_k=0.105459297045, E_e=20.8481338772
Re=50, We=1.0, Ma=0.05, t=8.00067041026, E_k=0.104703765137, E_e=31.7960801428
Re=100, We=0.001, Ma=0.1, t=8.00067041026, E_k=0.108214666063, E_e=0.000117417691255
Re=50, We=0.001, Ma=0.05, t=8.00067041026, E_k=0.108422586825, E_e=0.000113923757819
Re=50, We=0.1, Ma=0.05, t=8.00067041026, E_k=0.102951624498, E_e=0.885251825114
Re=50, We=0.5, Ma=0.05, t=8.00067041026, E_k=0.104881026842, E_e=11.4166283836
Re=50, We=0.75, Ma=0.05, t=8.00067041026, E_k=0.105530268993, E_e=20.8367399932
Re=0, We=1.0, Ma=0.05, t=5.00011243508, E_k=0.380897836931, E_e=18.5566659394
Re=0, We=1.0, Ma=0.1, t=5.00011243508, E_k=0.388710219805, E_e=18.7528791225
Re=0, We=1.0, Ma=0.2, t=5.00011243508, E_k=0.422056449461, E_e=18.2616641812
