Re=50, We=0.001, Ma=0.005, t=8.0004626246ecc=0.8, Stability=0.02530896248
Re=50, We=0.1, Ma=0.005, t=8.0004626246ecc=0.8, Stability=0.0258011941641
Re=50, We=0.5, Ma=0.005, t=8.0004626246ecc=0.8, Stability=0.0445202089408
Re=50, We=0.75, Ma=0.005, t=8.0004626246ecc=0.8, Stability=0.048994082259
Re=50, We=1.0, Ma=0.005, t=8.0004626246ecc=0.8, Stability=0.0520068843438
Re=50, We=0.001, Ma=0.1, t=8.0004626246ecc=0.8, Stability=0.124076631872
Re=50, We=0.1, Ma=0.1, t=8.0004626246ecc=0.8, Stability=0.0823423190326
Re=50, We=0.5, Ma=0.1, t=8.0004626246ecc=0.8, Stability=0.0944916206071
Re=50, We=0.75, Ma=0.1, t=8.0004626246ecc=0.8, Stability=0.0997676182537
Re=50, We=0.001, Ma=0.005, t=8.0004626246ecc=0.8, Stability=0.0253575496108
Re=50, We=0.1, Ma=0.005, t=8.0004626246ecc=0.8, Stability=0.0706821210465
Re=50, We=0.5, Ma=0.005, t=8.0004626246ecc=0.8, Stability=0.357276558886
Re=50, We=1.0, Ma=0.005, t=8.0004626246ecc=0.8, Stability=0.904737820251
Re=50, We=2.0, Ma=0.005, t=8.0004626246ecc=0.8, Stability=-1.82004215461
Re=50, We=0.001, Ma=0.1, t=8.0004626246ecc=0.8, Stability=0.124076639257
Re=50, We=0.1, Ma=0.1, t=8.0004626246ecc=0.8, Stability=0.0977590724068
Re=50, We=0.5, Ma=0.1, t=8.0004626246ecc=0.8, Stability=0.371967653671
Re=50, We=1.0, Ma=0.1, t=8.0004626246ecc=0.8, Stability=0.925473824506
Re=50, We=0.001, Ma=0.005, t=0.00762840428133ecc=0.8, Stability=0.891874052592
Re=50, We=0.1, Ma=0.005, t=0.00762840428133ecc=0.8, Stability=0.158271443639
Re=50, We=0.5, Ma=0.005, t=0.00762840428133ecc=0.8, Stability=0.183271030564
Re=50, We=1.0, Ma=0.005, t=0.00762840428133ecc=0.8, Stability=0.186248892178
Re=50, We=2.0, Ma=0.005, t=0.00762840428133ecc=0.8, Stability=0.187560959831
Re=10, We=0.001, Ma=0.01, t=8.00021857609ecc=0.8, Stability=0.00996606404047
Re=10, We=0.1, Ma=0.01, t=8.00021857609ecc=0.8, Stability=0.0203777704211
Re=10, We=0.5, Ma=0.01, t=8.00021857609ecc=0.8, Stability=-0.0333629822888
Re=10, We=1.0, Ma=0.01, t=8.00021857609ecc=0.8, Stability=-0.157188837039
Re=10, We=0.001, Ma=0.01, t=8.00021857609ecc=0.8, Stability=0.0099935416049
Re=10, We=0.1, Ma=0.01, t=8.00021857609ecc=0.8, Stability=0.0197459213222
Re=10, We=0.5, Ma=0.01, t=8.00021857609ecc=0.8, Stability=-0.0336336984969
Re=10, We=0.75, Ma=0.01, t=8.00021857609ecc=0.8, Stability=-0.0870282022206
Re=10, We=1.0, Ma=0.01, t=8.00021857609ecc=0.8, Stability=-0.155599024491
Re=50, We=0.001, Ma=0.05, t=8.00021857609ecc=0.8, Stability=0.0500695811744
Re=50, We=0.1, Ma=0.05, t=8.00021857609ecc=0.8, Stability=0.0437476985184
Re=50, We=0.5, Ma=0.05, t=8.00021857609ecc=0.8, Stability=-0.00643466339168
Re=50, We=0.75, Ma=0.05, t=8.00021857609ecc=0.8, Stability=-0.0581748544377
Re=50, We=1.0, Ma=0.05, t=8.00021857609ecc=0.8, Stability=-0.125343023945
Re=100, We=0.001, Ma=0.1, t=8.00021857609ecc=0.8, Stability=0.0983826183373
Re=100, We=0.1, Ma=0.1, t=8.00021857609ecc=0.8, Stability=0.0772366191981
Re=100, We=0.5, Ma=0.1, t=8.00021857609ecc=0.8, Stability=0.026196318093
Re=100, We=0.75, Ma=0.1, t=8.00021857609ecc=0.8, Stability=-0.0222280847062
Re=50, We=0.001, Ma=0.05, t=8.00067041026ecc=0.8, Stability=0.0500845404491
Re=50, We=0.1, Ma=0.05, t=8.00067041026ecc=0.8, Stability=0.0417436617258
Re=50, We=0.5, Ma=0.05, t=8.00067041026ecc=0.8, Stability=-0.0104491994871
Re=50, We=0.75, Ma=0.05, t=8.00067041026ecc=0.8, Stability=-0.0631397368214
Re=50, We=1.0, Ma=0.05, t=8.00067041026ecc=0.8, Stability=-0.124509163899
Re=100, We=0.001, Ma=0.1, t=8.00067041026ecc=0.8, Stability=0.0998803729195
Re=50, We=0.001, Ma=0.05, t=8.00067041026ecc=0.8, Stability=0.0505303690162
Re=50, We=0.1, Ma=0.05, t=8.00067041026ecc=0.8, Stability=0.0417396978549
Re=50, We=0.5, Ma=0.05, t=8.00067041026ecc=0.8, Stability=-0.0111445049562
Re=50, We=0.75, Ma=0.05, t=8.00067041026ecc=0.8, Stability=-0.0644585087363
Re=0, We=1.0, Ma=0.05, t=5.00011243508ecc=0.8, Stability=-0.641518706685
Re=0, We=1.0, Ma=0.1, t=5.00011243508ecc=0.8, Stability=-0.313948321706
Re=0, We=1.0, Ma=0.2, t=5.00011243508ecc=0.8, Stability=-1.51783966548
