Re=50, We=0.001, Ma=0.005, t=8.0004626246----- psi_min=0.0586373718059---[[ 0.9442231 -0.0695859]]
Re=50, We=0.1, Ma=0.005, t=8.0004626246----- psi_min=0.0515851621656---[[ 0.93655809 -0.04215274]]
Re=50, We=0.5, Ma=0.005, t=8.0004626246----- psi_min=0.0433018003494---[[ 0.91446067 -0.02906255]]
Re=50, We=1.0, Ma=0.005, t=8.0004626246----- psi_min=0.0470265414273---[[ 0.92057258 -0.07619401]]
Re=50, We=2.0, Ma=0.005, t=8.0004626246----- psi_min=0.0527074075767---[[ 0.85966198 -0.41573646]]


Re=50, We=0.001, Ma=0.1, t=8.0004626246----- psi_min=0.0585937038878---[[ 0.9442231 -0.0695859]]
Re=50, We=0.1, Ma=0.1, t=8.0004626246----- psi_min=0.0515540866636---[[ 0.93655809 -0.04215274]]
Re=50, We=0.5, Ma=0.1, t=8.0004626246----- psi_min=0.0432996028993---[[  9.16663588e-01  -1.73217826e-04]]
Re=50, We=1.0, Ma=0.1, t=8.0004626246----- psi_min=0.0470680539911---[[ 0.92446155 -0.02775621]]
Re=50, We=0.001, Ma=0.005, t=0.00762840428133----- psi_min=4.34366957378e-06---[[ 0.8293293  -0.11642472]]
Re=50, We=0.1, Ma=0.005, t=0.00762840428133----- psi_min=3.43478235446e-06---[[ 0.48117056 -0.76348116]]
Re=50, We=0.5, Ma=0.005, t=0.00762840428133----- psi_min=3.41195957425e-06---[[ 0.48117056 -0.76348116]]
Re=50, We=1.0, Ma=0.005, t=0.00762840428133----- psi_min=3.40903262767e-06---[[ 0.48117056 -0.76348116]]
Re=50, We=2.0, Ma=0.005, t=0.00762840428133----- psi_min=3.40756409604e-06---[[ 0.48117056 -0.76348116]]
Re=10, We=0.001, Ma=0.01, t=8.00021857609----- psi_min=0.0586482005373---[[ 0.94454138  0.00575507]]
Re=10, We=0.1, Ma=0.01, t=8.00021857609----- psi_min=0.0560016276104---[[ 0.95622295 -0.02842252]]
Re=10, We=0.5, Ma=0.01, t=8.00021857609----- psi_min=0.0563933177521---[[ 0.95622295 -0.02842252]]
Re=10, We=1.0, Ma=0.01, t=8.00021857609----- psi_min=0.0562902420228---[[ 0.9602146  -0.00446862]]
Re=10, We=0.001, Ma=0.01, t=8.00021857609----- psi_min=0.0586478095667---[[ 0.94454138  0.00575507]]
Re=10, We=0.1, Ma=0.01, t=8.00021857609----- psi_min=0.0555923757252---[[ 0.95622295 -0.02842252]]
Re=10, We=0.5, Ma=0.01, t=8.00021857609----- psi_min=0.0558043662425---[[ 0.95692696  0.01978257]]
Re=10, We=0.75, Ma=0.01, t=8.00021857609----- psi_min=0.0557117492221---[[ 0.95692696  0.01978257]]
Re=10, We=1.0, Ma=0.01, t=8.00021857609----- psi_min=0.0555967139754---[[ 0.9602146  -0.00446862]]
Re=50, We=0.001, Ma=0.05, t=8.00021857609----- psi_min=0.0586011365378---[[ 0.9442231 -0.0695859]]
Re=50, We=0.1, Ma=0.05, t=8.00021857609----- psi_min=0.0546494790041---[[ 0.95221585 -0.05256526]]
Re=50, We=0.5, Ma=0.05, t=8.00021857609----- psi_min=0.0561741539541---[[ 0.95622295 -0.02842252]]
Re=50, We=0.75, Ma=0.05, t=8.00021857609----- psi_min=0.0567193564902---[[ 0.9602146  -0.00446862]]
Re=50, We=1.0, Ma=0.05, t=8.00021857609----- psi_min=0.0569267503775---[[ 0.9602146  -0.00446862]]
Re=100, We=0.001, Ma=0.1, t=8.00021857609----- psi_min=0.0584571924087---[[ 0.94835279 -0.09470382]]
Re=100, We=0.1, Ma=0.1, t=8.00021857609----- psi_min=0.0547979239617---[[ 0.94835279 -0.09470382]]
Re=100, We=0.5, Ma=0.1, t=8.00021857609----- psi_min=0.0554948251451---[[ 0.9513619  -0.11907509]]
Re=100, We=0.75, Ma=0.1, t=8.00021857609----- psi_min=0.0556336011938---[[ 0.9513619  -0.11907509]]
Re=50, We=0.001, Ma=0.05, t=8.00067041026----- psi_min=0.0585960787007---[[ 0.9442231 -0.0695859]]
Re=50, We=0.1, Ma=0.05, t=8.00067041026----- psi_min=0.054963665452---[[ 0.95221585 -0.05256526]]
Re=50, We=0.5, Ma=0.05, t=8.00067041026----- psi_min=0.0566855334437---[[ 0.95622295 -0.02842252]]
Re=50, We=0.75, Ma=0.05, t=8.00067041026----- psi_min=0.0573065465696---[[ 0.95622295 -0.02842252]]
Re=50, We=1.0, Ma=0.05, t=8.00067041026----- psi_min=0.0567372871548---[[ 0.95622295 -0.02842252]]
Re=100, We=0.001, Ma=0.1, t=8.00067041026----- psi_min=0.0584532448272---[[ 0.94835279 -0.09470382]]
Re=50, We=0.001, Ma=0.05, t=8.00067041026----- psi_min=0.0586636540628---[[ 0.9442231 -0.0695859]]
Re=50, We=0.1, Ma=0.05, t=8.00067041026----- psi_min=0.0548408380033---[[ 0.95221585 -0.05256526]]
Re=50, We=0.5, Ma=0.05, t=8.00067041026----- psi_min=0.0566664369349---[[ 0.95622295 -0.02842252]]
Re=50, We=0.75, Ma=0.05, t=8.00067041026----- psi_min=0.0573397140411---[[ 0.95622295 -0.02842252]]
Re=0, We=1.0, Ma=0.05, t=5.00011243508----- psi_min=0.182662105094---[[ 0.75097575 -0.05992192]]
Re=0, We=1.0, Ma=0.1, t=5.00011243508----- psi_min=0.178082006478---[[ 0.74364333 -0.09155304]]
Re=0, We=1.0, Ma=0.2, t=5.00011243508----- psi_min=0.166979011063---[[ 0.70555796 -0.09769573]]
