Re=50, We=0.001, Ma=0.005, t=8.0004626246ecc=0.8, Stability=42.1165147602
Re=50, We=0.1, Ma=0.005, t=8.0004626246ecc=0.8, Stability=49.4125859166
Re=50, We=0.5, Ma=0.005, t=8.0004626246ecc=0.8, Stability=55.3812777344
Re=50, We=0.75, Ma=0.005, t=8.0004626246ecc=0.8, Stability=56.8319648963
Re=50, We=1.0, Ma=0.005, t=8.0004626246ecc=0.8, Stability=58.0076126914
Re=50, We=0.001, Ma=0.1, t=8.0004626246ecc=0.8, Stability=42.0722487119
Re=50, We=0.1, Ma=0.1, t=8.0004626246ecc=0.8, Stability=49.4034202341
Re=50, We=0.5, Ma=0.1, t=8.0004626246ecc=0.8, Stability=55.3681524507
Re=50, We=0.75, Ma=0.1, t=8.0004626246ecc=0.8, Stability=56.8230667768
Re=50, We=0.001, Ma=0.005, t=8.0004626246ecc=0.8, Stability=42.110586349
Re=50, We=0.1, Ma=0.005, t=8.0004626246ecc=0.8, Stability=47.5298540825
Re=50, We=0.5, Ma=0.005, t=8.0004626246ecc=0.8, Stability=66.7343825961
Re=50, We=1.0, Ma=0.005, t=8.0004626246ecc=0.8, Stability=84.5320056165
Re=50, We=2.0, Ma=0.005, t=8.0004626246ecc=0.8, Stability=132.298612146
Re=50, We=0.001, Ma=0.1, t=8.0004626246ecc=0.8, Stability=42.0722853744
Re=50, We=0.1, Ma=0.1, t=8.0004626246ecc=0.8, Stability=47.5827228151
Re=50, We=0.5, Ma=0.1, t=8.0004626246ecc=0.8, Stability=66.8284393019
Re=50, We=1.0, Ma=0.1, t=8.0004626246ecc=0.8, Stability=84.5237205138




Re=50, We=0.001, Ma=0.005, t=0.00762840428133ecc=0.8, Stability=0.0639643338112
Re=50, We=0.1, Ma=0.005, t=0.00762840428133ecc=0.8, Stability=0.0848683509236
Re=50, We=0.5, Ma=0.005, t=0.00762840428133ecc=0.8, Stability=0.0859814112174
Re=50, We=1.0, Ma=0.005, t=0.00762840428133ecc=0.8, Stability=0.086123754169
Re=50, We=2.0, Ma=0.005, t=0.00762840428133ecc=0.8, Stability=0.0861952197336
Re=10, We=0.001, Ma=0.01, t=8.00021857609ecc=0.8, Stability=42.0957270976
Re=10, We=0.1, Ma=0.01, t=8.00021857609ecc=0.8, Stability=58.205383073
Re=10, We=0.5, Ma=0.01, t=8.00021857609ecc=0.8, Stability=162.476833964
Re=10, We=1.0, Ma=0.01, t=8.00021857609ecc=0.8, Stability=355.460244811
Re=10, We=0.001, Ma=0.01, t=8.00021857609ecc=0.8, Stability=42.0919976235
Re=10, We=0.1, Ma=0.01, t=8.00021857609ecc=0.8, Stability=58.2028399313
Re=10, We=0.5, Ma=0.01, t=8.00021857609ecc=0.8, Stability=162.626789761
Re=10, We=0.75, Ma=0.01, t=8.00021857609ecc=0.8, Stability=252.423615127
Re=10, We=1.0, Ma=0.01, t=8.00021857609ecc=0.8, Stability=355.863297594
Re=50, We=0.001, Ma=0.05, t=8.00021857609ecc=0.8, Stability=42.1134055753
Re=50, We=0.1, Ma=0.05, t=8.00021857609ecc=0.8, Stability=58.3013226145
Re=50, We=0.5, Ma=0.05, t=8.00021857609ecc=0.8, Stability=162.564072452
Re=50, We=0.75, Ma=0.05, t=8.00021857609ecc=0.8, Stability=251.913537449
Re=50, We=1.0, Ma=0.05, t=8.00021857609ecc=0.8, Stability=354.920784864
Re=100, We=0.001, Ma=0.1, t=8.00021857609ecc=0.8, Stability=42.0840114602
Re=100, We=0.1, Ma=0.1, t=8.00021857609ecc=0.8, Stability=58.3598148317
Re=100, We=0.5, Ma=0.1, t=8.00021857609ecc=0.8, Stability=162.998397013
Re=100, We=0.75, Ma=0.1, t=8.00021857609ecc=0.8, Stability=252.885562076
Re=50, We=0.001, Ma=0.05, t=8.00067041026ecc=0.8, Stability=42.1046652781
Re=50, We=0.1, Ma=0.05, t=8.00067041026ecc=0.8, Stability=58.2467278238
Re=50, We=0.5, Ma=0.05, t=8.00067041026ecc=0.8, Stability=161.999293388
Re=50, We=0.75, Ma=0.05, t=8.00067041026ecc=0.8, Stability=250.977619578
Re=50, We=1.0, Ma=0.05, t=8.00067041026ecc=0.8, Stability=354.379231065
Re=100, We=0.001, Ma=0.1, t=8.00067041026ecc=0.8, Stability=42.077782294
Re=50, We=0.001, Ma=0.05, t=8.00067041026ecc=0.8, Stability=42.0490531186
Re=50, We=0.1, Ma=0.05, t=8.00067041026ecc=0.8, Stability=58.2686115262
Re=50, We=0.5, Ma=0.05, t=8.00067041026ecc=0.8, Stability=161.934339587
Re=50, We=0.75, Ma=0.05, t=8.00067041026ecc=0.8, Stability=250.829213469
Re=0, We=1.0, Ma=0.05, t=5.00011243508ecc=0.8, Stability=83.3318200681
Re=0, We=1.0, Ma=0.1, t=5.00011243508ecc=0.8, Stability=82.9032775924
Re=0, We=1.0, Ma=0.2, t=5.00011243508ecc=0.8, Stability=80.5582569827
