
Re=25, We=0.1, Ma=0.01, t=10.0, Stability=0.210650282544
Re=25, We=0.2, Ma=0.01, t=10.0, Stability=1.02996490078
Re=25, We=0.3, Ma=0.01, t=10.0, Stability=7.35302593549

Re=25, We=0.4, Ma=0.01, t=10.0, Stability=-4.38268076407


Re=25, We=0.005, Ma=0.001, t=10.0, Stability=0.0986720676678
Re=25, We=0.25, Ma=0.001, t=10.0, Stability=2.2015381665
Re=25, We=0.5, Ma=0.01, t=10.0, Stability=-2.29675861887

Re=100, We=0.005, Ma=0.001, t=10.0, Stability=0.238893969788


Re=100, We=0.1, Ma=0.1, t=10.0, Stability=0.510316768504
Re=100, We=0.2, Ma=0.1, t=10.0, Stability=1.52091743154
Re=100, We=0.3, Ma=0.1, t=10.0, Stability=5.30688950361
Re=100, We=0.4, Ma=0.1, t=10.0, Stability=-10.9218681061

Re=100, We=0.25, Ma=0.001, t=10.0, Stability=2.55479410288



Re=50, We=0.25, Ma=0.001, t=10.0 al=0.1, Stability=2.86209251949
Re=50, We=0.25, Ma=0.001, t=10.0 al=0.5, Stability=2.41619349477
Re=50, We=0.25, Ma=0.001, t=10.0al=0.9, Stability=1.79744338574



Re=100, We=0.5, Ma=0.1, t=10.0, Stability=-3.87915528395
Re=50, We=0.1, Ma=0.001, t=10.0al=0.1, Stability=0.345305415673
Re=50, We=0.1, Ma=0.001, t=10.0al=0.1, Stability=0.34660203529
Re=50, We=0.25, Ma=0.001, t=10.0al=0.1, Stability=2.23753095406
Re=50, We=0.5, Ma=0.001, t=10.0al=0.1, Stability=-3.45475346995
Re=50, We=0.75, Ma=0.001, t=10.0al=0.1, Stability=-1.81303728151

Re=50, We=0.1, Ma=0.001, t=10.0al=0.5, Stability=0.209720394852
Re=50, We=0.1, Ma=0.001, t=10.0al=0.5, Stability=0.218066485256
Re=50, We=0.25, Ma=0.001, t=10.0al=0.5, Stability=0.827968050988
Re=50, We=0.5, Ma=0.001, t=10.0al=0.5, Stability=-107.414320599

Re=50, We=0.75, Ma=0.001, t=10.0al=0.5, Stability=-3.34976739372
Re=50, We=0.75, Ma=0.001, t=5.0005al=0.1, Stability=0.158562477487
Re=50, We=0.1, Ma=0.001, t=10.0al=0.9, Stability=0.149288750561
Re=50, We=0.1, Ma=0.001, t=10.0al=0.9, Stability=0.160852842262
Re=50, We=0.25, Ma=0.001, t=10.0al=0.9, Stability=0.286540290766
Re=50, We=0.1, Ma=0.001, t=8.0005al=0.1, Stability=0.147750442692
Re=50, We=0.1, Ma=0.001, t=0.05al=0.1, Stability=-0.000658253261884
Re=50, We=0.001, Ma=0.001, t=8.0005al=0.1, Stability=0.0697492572849
Re=50, We=0.1, Ma=0.001, t=8.0005al=0.1, Stability=0.121460818562
Re=50, We=0.5, Ma=0.001, t=8.0005al=0.1, Stability=-15.0529009812
Re=50, We=1.0, Ma=0.001, t=8.0005al=0.1, Stability=-0.860050617683
Re=50, We=2.0, Ma=0.001, t=8.0005al=0.1, Stability=-0.241675839577
Re=50, We=0.001, Ma=0.001, t=8.0005al=0.1, Stability=0.0697492572849
Re=50, We=0.1, Ma=0.001, t=8.0005al=0.1, Stability=0.121460818562
Re=50, We=0.5, Ma=0.001, t=8.0005al=0.1, Stability=-15.0529009812
Re=50, We=1.0, Ma=0.001, t=8.0005al=0.1, Stability=-0.860050617683
Re=50, We=2.0, Ma=0.001, t=8.0005al=0.1, Stability=-0.241675839577
