Re=10, We=0.5, Ma=0.01lambda=0, t=8.00028899005, E_k=0.0668859924868, E_e=369.346334365
Re=10, We=0.5, Ma=0.01lambda=0, t=8.00028899005, E_k=0.0881854507439, E_e=811.680374521
Re=10, We=0.5, Ma=0.01lambda=0.05, t=8.00028899005, E_k=0.09133456608, E_e=817.511949561
Re=10, We=0.5, Ma=0.01lambda=0, t=2.00016760257, E_k=0.115233092534, E_e=721.857127922
Re=10, We=0.5, Ma=0.01lambda=0, t=2.00016760257, E_k=0.096922818976, E_e=418.291488004
Re=10, We=0.5, Ma=0.01lambda=0.05, t=2.00016760257, E_k=0.0969412500429, E_e=423.95002189
Re=10, We=0.5, Ma=0.01lambda=0.1, t=2.00016760257, E_k=0.0994233004484, E_e=447.849183723
Re=10, We=0.5, Ma=0.01lambda=0, t=8.00028899005, E_k=0.0954171286693, E_e=467.534665017
Re=10, We=0.5, Ma=0.01lambda=0.05, t=8.00028899005, E_k=0.0957146667527, E_e=477.311191984
Re=10, We=0.1, Ma=0.01lambda=0, t=8.00028899005, E_k=0.105527530355, E_e=23.943325489
Re=10, We=0.1, Ma=0.01lambda=0.05, t=8.00028899005, E_k=0.105395683267, E_e=24.7922218157
Re=10, We=0.1, Ma=0.01lambda=0.1, t=8.00028899005, E_k=0.105116460281, E_e=27.1540456276
Re=10, We=0.1, Ma=0.01lambda=0, t=8.00028899005, E_k=0.105527530355, E_e=23.943325489
Re=10, We=0.1, Ma=0.01lambda=0.05, t=8.00028899005, E_k=0.105395683267, E_e=24.7922218157
Re=10, We=0.1, Ma=0.01lambda=0.1, t=8.00028899005, E_k=0.105116460281, E_e=27.1540456276
Re=10, We=0.1, Ma=0.01lambda=0, t=8.00028899005, E_k=0.105527530355, E_e=23.943325489
Re=10, We=0.1, Ma=0.01lambda=0.05, t=8.00028899005, E_k=0.105395683267, E_e=24.7922218157
Re=10, We=0.1, Ma=0.01lambda=0.1, t=8.00028899005, E_k=0.105116460281, E_e=27.1540456276
