Re=10, We=0.5, Ma=0.01lambda=0, t=8.00028899005----- psi_min=0.0403649640026---[[ 0.65260197 -0.70136257]]
Re=10, We=0.5, Ma=0.01lambda=0, t=8.00028899005----- psi_min=0.0447870642646---[[ 0.97200331 -0.0880957 ]]
Re=10, We=0.5, Ma=0.01lambda=0.05, t=8.00028899005----- psi_min=0.0452644722917---[[ 0.99308111 -0.1044241 ]]
Re=10, We=0.5, Ma=0.01lambda=0, t=2.00016760257----- psi_min=0.0564825450446---[[ 0.9849319  0.0232475]]
Re=10, We=0.5, Ma=0.01lambda=0, t=2.00016760257----- psi_min=0.0598655347125---[[ 0.93440067  0.17311824]]
Re=10, We=0.5, Ma=0.01lambda=0.05, t=2.00016760257----- psi_min=0.0595571196136---[[ 0.93509511  0.14827197]]
Re=10, We=0.5, Ma=0.01lambda=0.1, t=2.00016760257----- psi_min=0.0604044431725---[[ 0.93440067  0.17311824]]
Re=10, We=0.5, Ma=0.01lambda=0, t=8.00028899005----- psi_min=0.0572529952806---[[ 0.94054974 -0.01819883]]
Re=10, We=0.5, Ma=0.01lambda=0.05, t=8.00028899005----- psi_min=0.0566230705369---[[ 0.94054974 -0.01819883]]
Re=10, We=0.1, Ma=0.01lambda=0, t=8.00028899005----- psi_min=0.0592027681376---[[ 0.94454138  0.00575507]]
Re=10, We=0.1, Ma=0.01lambda=0.05, t=8.00028899005----- psi_min=0.0592500353674---[[ 0.94454138  0.00575507]]
Re=10, We=0.1, Ma=0.01lambda=0.1, t=8.00028899005----- psi_min=0.0594008614187---[[ 0.94454138  0.00575507]]
Re=10, We=0.1, Ma=0.01lambda=0, t=8.00028899005----- psi_min=0.0592027681376---[[ 0.94454138  0.00575507]]
Re=10, We=0.1, Ma=0.01lambda=0.05, t=8.00028899005----- psi_min=0.0592500353674---[[ 0.94454138  0.00575507]]
Re=10, We=0.1, Ma=0.01lambda=0.1, t=8.00028899005----- psi_min=0.0594008614187---[[ 0.94454138  0.00575507]]
Re=10, We=0.1, Ma=0.01lambda=0, t=8.00028899005----- psi_min=0.0592027681376---[[ 0.94454138  0.00575507]]
Re=10, We=0.1, Ma=0.01lambda=0.05, t=8.00028899005----- psi_min=0.0592500353674---[[ 0.94454138  0.00575507]]
Re=10, We=0.1, Ma=0.01lambda=0.1, t=8.00028899005----- psi_min=0.0594008614187---[[ 0.94454138  0.00575507]]
